id,situacao,cargo,funcao
369890,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
197775,Pensionista,VIGILANTE,Sem função
245559,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
245559,Ativo,Sem informaç,FG 000.2
723393,Aposentado,MEDICO-AREA,Sem função
3791949,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
660056,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
660056,Ativo,Sem informaç,FG 000.1
1004518,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
1976703,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1947467,Ativo,TECNICO EM RADIOLOGIA,Sem função
1714146,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
93686,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1890387,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3320577,Ativo,BIBLIOTECARIO-DOCUMENTALISTA,Sem função
3529119,Aposentado,VIGILANTE,Sem função
360877,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
360877,Ativo,Sem informaç,CD 000.3
61075,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
398864,Ativo,SERVENTE DE LIMPEZA,Sem função
1490314,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
1130191,Aposentado,ATENDENTE DE ENFERMAGEM,Sem função
33141,Aposentado,ASSISTENTE DE LABORATORIO,Sem função
2381560,Ativo,QUIMICO,Sem função
1109048,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
635429,Aposentado,MOTORISTA,Sem função
1149252,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
806489,Pensionista,CONTINUO,Sem função
1821121,Aposentado,ASSISTENTE DE LABORATORIO,Sem função
3555542,Pensionista,TECNICO EM CONTABILIDADE,Sem função
2590321,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1993503,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
984363,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
2128215,Ativo,AUX EM ADMINISTRACAO,Sem função
1423773,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1423773,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2204258,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2204258,Ativo,Sem informaç,FUC 000.1
1844773,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1058987,Aposentado,AUXILIAR DE ENFERMAGEM,Sem função
2579400,Pensionista,TECNICO DE LABORATORIO AREA,Sem função
2162004,Aposentado,ENFERMEIRO-AREA,Sem função
3547405,Aposentado,AUXILIAR DE LABORATORIO,Sem função
3090479,Ativo,TECNICO DE LABORATORIO AREA,Sem função
1941890,Ativo,FARMACEUTICO-HABILITACAO,Sem função
1662792,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
563825,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
1219111,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1219111,Ativo,Sem informaç,FG 000.2
1993491,Ativo,MEDICO RESIDENTE,Sem função
2356244,Ativo,TECNICO EM ENFERMAGEM,Sem função
3233063,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3628118,Ativo,ADMINISTRADOR,Sem função
3768420,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1927682,Pensionista,TECNICO EM RADIOLOGIA,Sem função
3791032,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
2938850,Ativo,PEDAGOGO-AREA,Sem função
3124845,Ativo,ASSISTENTE SOCIAL,Sem função
1320836,Ativo,TECNICO EM ENFERMAGEM,Sem função
948657,Pensionista,TECNICO EM ENFERMAGEM,Sem função
